2015-11-02T00:00:00,1100,Foggy in the morning.,41.47,55.47
2015-11-02T00:00:00,1000,Foggy in the morning.,41.28,61.37
2015-11-02T00:00:00,2400,Foggy until afternoon.,42.33,49.36
2015-11-02T00:00:00,2000,Foggy throughout the day.,42.81,46.69
2015-11-02T00:00:00,2100,Foggy throughout the day.,42.38,46.93
2015-11-02T00:00:00,2200,Foggy throughout the day.,42.12,47.42
2015-11-02T00:00:00,2700,Foggy throughout the day.,42.45,46.94
2015-11-02T00:00:00,3100,Mostly cloudy starting in the evening.,38.41,66.47
2015-11-02T00:00:00,3000,Foggy in the morning.,39.64,65.58
2015-11-02T00:00:00,3200,Mostly cloudy throughout the day.,35.12,66.64
2015-11-02T00:00:00,4000,Mostly cloudy throughout the day.,42.56,64.56
2015-11-02T00:00:00,4100,Mostly cloudy throughout the day.,44.68,67.04
2015-11-02T00:00:00,5100,Breezy in the morning.,46.05,64.71
2015-11-02T00:00:00,5000,Mostly cloudy starting in the evening and breezy overnight.,46.37,65.87
2015-11-02T00:00:00,6600,Breezy until afternoon and partly cloudy starting in the afternoon.,48.37,66
2015-11-02T00:00:00,6240,Breezy until afternoon and partly cloudy starting in the afternoon.,51.73,65.36
2015-11-02T00:00:00,6800,Breezy until afternoon and partly cloudy starting in the afternoon.,50.04,65.84
2015-11-02T00:00:00,6400,Partly cloudy starting in the afternoon.,46.97,66
2015-11-02T00:00:00,6150,Partly cloudy starting in the afternoon.,46.5,66
2015-11-02T00:00:00,6130,Partly cloudy throughout the day.,47.29,66
2015-11-02T00:00:00,6110,Partly cloudy starting in the afternoon.,47.16,66
2015-11-02T00:00:00,6500,Partly cloudy starting in the afternoon.,52.95,65.52
2015-11-02T00:00:00,6000,Breezy until afternoon and partly cloudy starting in the afternoon.,50.57,65.67
2015-11-02T00:00:00,6300,Breezy until afternoon and partly cloudy starting in the afternoon.,50.89,65.55
2015-11-02T00:00:00,6200,Breezy until afternoon and partly cloudy starting in the afternoon.,50.15,65.86
2015-11-02T00:00:00,6190,Partly cloudy starting in the afternoon.,52.74,65.53
2015-11-02T00:00:00,6700,Breezy until afternoon and partly cloudy starting in the afternoon.,50.11,65.89
2015-11-02T00:00:00,6220,Partly cloudy starting in the afternoon.,47.54,66
2015-11-02T00:00:00,6230,Breezy until afternoon and partly cloudy starting in the afternoon.,50.82,65.59
2015-11-02T00:00:00,7200,Mostly cloudy in the morning.,40.74,63.88
2015-11-02T00:00:00,7500,Partly cloudy throughout the day.,42.29,64.17
2015-11-02T00:00:00,7000,Mostly cloudy throughout the day.,40.85,65.43
2015-11-02T00:00:00,8000,Foggy in the morning.,42.15,47.21
2015-11-02T00:00:00,8200,Foggy starting in the evening.,39.24,49.1
2015-11-02T00:00:00,9000,"Breezy starting in the afternoon, continuing until evening, and heavy rain in the evening and overnight.",51.17,63.43
